Time 4 Elf Liam: Selected Toy train, Boy
Time 130 Elf Liam: Selected Toy dinosaur, Boy
Time 136 Elf Liam: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 136 Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 142 Elf Liam: Selected Toy train, Girl
Time 144 Elf Liam: Wrapped Toy train, in Pink wrapping paper.
Time 144 Elf Liam: Placed Toy train, on the sleigh. 
Time 149 Elf Liam: Selected Toy fake tattoo, Boy
Time 156 Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 156 Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 160 Elf Liam: Selected Toy doll, Boy
Time 165 Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 165 Elf Liam: Placed Toy doll, on the sleigh. 
Time 167 Elf Liam: Selected Toy whistle, Girl
Time 175 Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 175 Elf Liam: Placed Toy whistle, on the sleigh. 
Time 177 Elf Liam: Selected Toy fake tattoo, Boy
Time 185 Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 185 Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 192 Elf Liam: Selected Toy bracelet, Boy
Time 195 Elf Liam: Wrapped Toy bracelet, in Blue wrapping paper.
Time 195 Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 200 Elf Liam: Selected Toy train, Boy
Time 202 Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 202 Elf Liam: Placed Toy train, on the sleigh. 
Time 204 Elf Liam: Selected Toy whistle, Boy
Time 212 Elf Liam: Wrapped Toy whistle, in Blue wrapping paper.
Time 212 Elf Liam: Placed Toy whistle, on the sleigh. 
Time 219 Elf Liam: Selected Toy fake tattoo, Boy
Time 226 Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 226 Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 228 Elf Liam: Selected Toy fake tattoo, Girl
Time 229 Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 229 Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 232 Elf Liam: Selected Toy bracelet, Boy
Time 240 Elf Liam: Wrapped Toy bracelet, in Blue wrapping paper.
Time 240 Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 241 Elf Liam: Selected Toy fake tattoo, Girl
Time 244 Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 244 Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 250 Elf Liam: Selected Toy doll, Girl
Time 256 Elf Liam: Wrapped Toy doll, in Pink wrapping paper.
Time 256 Elf Liam: Placed Toy doll, on the sleigh. 
Time 260 Elf Liam: Selected Toy whistle, Girl
Time 263 Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 264 Elf Liam: Placed Toy whistle, on the sleigh. 
Time 265 Elf Liam: Selected Toy fake tattoo, Boy
Time 268 Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 268 Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 270 Elf Liam: Selected Toy whistle, Girl
Time 274 Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 274 Elf Liam: Placed Toy whistle, on the sleigh. 
Time 279 Elf Liam: Selected Toy fake tattoo, Girl
Time 282 Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 282 Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 291 Elf Liam: Selected Toy doll, Girl
Time 293 Elf Liam: Wrapped Toy doll, in Pink wrapping paper.
Time 293 Elf Liam: Placed Toy doll, on the sleigh. 
Time 298 Elf Liam: Selected Toy bracelet, Girl
Time 306 Elf Liam: Wrapped Toy bracelet, in Pink wrapping paper.
Time 306 Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 309 Elf Liam: Selected Toy bracelet, Boy
Time 314 Elf Liam: Wrapped Toy bracelet, in Blue wrapping paper.
Time 314 Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 317 Elf Liam: Selected Toy bracelet, Boy
Time 323 Elf Liam: Wrapped Toy bracelet, in Blue wrapping paper.
Time 323 Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 328 Elf Liam: Selected Toy dinosaur, Girl
Time 330 Elf Liam: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 330 Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 339 Elf Liam: Selected Toy dinosaur, Boy
Time 342 Elf Liam: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 342 Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 345 Elf Liam: Selected Toy train, Girl
Time 347 Elf Liam: Wrapped Toy train, in Pink wrapping paper.
Time 347 Elf Liam: Placed Toy train, on the sleigh. 
Time 350 Elf Liam: Selected Toy whistle, Boy
Time 353 Elf Liam: Wrapped Toy whistle, in Blue wrapping paper.
Time 353 Elf Liam: Placed Toy whistle, on the sleigh. 
Time 356 Elf Liam: Selected Toy bracelet, Girl
Time 358 Elf Liam: Wrapped Toy bracelet, in Pink wrapping paper.
Time 358 Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 363 Elf Liam: Selected Toy fake tattoo, Boy
Time 370 Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 370 Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 373 Elf Liam: Selected Toy train, Boy
Time 377 Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 377 Elf Liam: Placed Toy train, on the sleigh. 
Time 381 Elf Liam: Selected Toy dinosaur, Girl
Time 386 Elf Liam: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 386 Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 392 Elf Liam: Selected Toy fake tattoo, Girl
Time 394 Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 394 Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 394 Elf Liam: Selected Toy doll, Girl
Time 402 Elf Liam: Wrapped Toy doll, in Pink wrapping paper.
Time 402 Elf Liam: Placed Toy doll, on the sleigh. 
Time 410 Elf Liam: Selected Toy whistle, Girl
Time 411 Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 411 Elf Liam: Placed Toy whistle, on the sleigh. 
Time 417 Elf Liam: Selected Toy dinosaur, Boy
Time 423 Elf Liam: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 423 Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 430 Elf Liam: Selected Toy train, Boy
Time 435 Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 435 Elf Liam: Placed Toy train, on the sleigh. 
Time 438 Elf Liam: Selected Toy dinosaur, Girl
Time 447 Elf Liam: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 447 Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 455 Elf Liam: Selected Toy train, Boy
Time 459 Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 459 Elf Liam: Placed Toy train, on the sleigh. 
Time 466 Elf Liam: Selected Toy fake tattoo, Girl
Time 470 Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 470 Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 471 Elf Liam: Selected Toy train, Girl
Time 473 Elf Liam: Wrapped Toy train, in Pink wrapping paper.
Time 473 Elf Liam: Placed Toy train, on the sleigh. 
Time 480 Elf Liam: Selected Toy doll, Girl
Time 480 Elf Liam: Wrapped Toy doll, in Pink wrapping paper.
Time 480 Elf Liam: Placed Toy doll, on the sleigh. 
