Time 8 Elf Jack: Selected Toy whistle, Boy
Time 264 Elf Jack: Selected Toy train, Girl
Time 266 Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 266 Elf Jack: Placed Toy train, on the sleigh. 
Time 274 Elf Jack: Selected Toy fake tattoo, Girl
Time 281 Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 281 Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 287 Elf Jack: Selected Toy whistle, Boy
Time 291 Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 291 Elf Jack: Placed Toy whistle, on the sleigh. 
Time 296 Elf Jack: Selected Toy whistle, Girl
Time 303 Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 303 Elf Jack: Placed Toy whistle, on the sleigh. 
Time 312 Elf Jack: Selected Toy bracelet, Girl
Time 312 Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 312 Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 315 Elf Jack: Selected Toy fake tattoo, Girl
Time 321 Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 321 Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 322 Elf Jack: Selected Toy fake tattoo, Boy
Time 330 Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 330 Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 331 Elf Jack: Selected Toy train, Girl
Time 331 Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 331 Elf Jack: Placed Toy train, on the sleigh. 
Time 338 Elf Jack: Selected Toy dinosaur, Boy
Time 341 Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 341 Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 342 Elf Jack: Selected Toy fake tattoo, Boy
Time 348 Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 348 Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 349 Elf Jack: Selected Toy fake tattoo, Girl
Time 354 Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 354 Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 361 Elf Jack: Selected Toy train, Boy
Time 362 Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 362 Elf Jack: Placed Toy train, on the sleigh. 
Time 366 Elf Jack: Selected Toy doll, Girl
Time 375 Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 375 Elf Jack: Placed Toy doll, on the sleigh. 
Time 382 Elf Jack: Selected Toy dinosaur, Boy
Time 386 Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 386 Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 386 Elf Jack: Selected Toy dinosaur, Boy
Time 387 Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 387 Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 390 Elf Jack: Selected Toy whistle, Girl
Time 394 Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 394 Elf Jack: Placed Toy whistle, on the sleigh. 
Time 397 Elf Jack: Selected Toy fake tattoo, Girl
Time 404 Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 404 Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 412 Elf Jack: Selected Toy train, Girl
Time 414 Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 414 Elf Jack: Placed Toy train, on the sleigh. 
Time 415 Elf Jack: Selected Toy whistle, Girl
Time 418 Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 418 Elf Jack: Placed Toy whistle, on the sleigh. 
Time 420 Elf Jack: Selected Toy fake tattoo, Girl
Time 421 Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 421 Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 423 Elf Jack: Selected Toy train, Boy
Time 429 Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 429 Elf Jack: Placed Toy train, on the sleigh. 
Time 436 Elf Jack: Selected Toy train, Girl
Time 441 Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 441 Elf Jack: Placed Toy train, on the sleigh. 
Time 448 Elf Jack: Selected Toy dinosaur, Girl
Time 456 Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 456 Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 461 Elf Jack: Selected Toy dinosaur, Girl
Time 465 Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 465 Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 471 Elf Jack: Selected Toy train, Boy
Time 473 Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 473 Elf Jack: Placed Toy train, on the sleigh. 
Time 480 Elf Jack: Selected Toy bracelet, Girl
Time 480 Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 480 Elf Jack: Placed Toy bracelet, on the sleigh. 
