Time 3 Elf Ryan: Selected Toy whistle, Girl
Time 181 Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 185 Elf Ryan: Selected Toy dinosaur, Girl
Time 189 Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 189 Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 194 Elf Ryan: Selected Toy dinosaur, Girl
Time 195 Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 195 Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 199 Elf Ryan: Selected Toy bracelet, Boy
Time 199 Elf Ryan: Wrapped Toy bracelet, in Blue wrapping paper.
Time 199 Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 199 Elf Ryan: Selected Toy bracelet, Boy
Time 203 Elf Ryan: Wrapped Toy bracelet, in Blue wrapping paper.
Time 203 Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 204 Elf Ryan: Selected Toy doll, Boy
Time 212 Elf Ryan: Wrapped Toy doll, in Blue wrapping paper.
Time 212 Elf Ryan: Placed Toy doll, on the sleigh. 
Time 217 Elf Ryan: Selected Toy train, Girl
Time 219 Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 219 Elf Ryan: Placed Toy train, on the sleigh. 
Time 220 Elf Ryan: Selected Toy fake tattoo, Boy
Time 222 Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 222 Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 226 Elf Ryan: Selected Toy fake tattoo, Boy
Time 230 Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 230 Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 238 Elf Ryan: Selected Toy whistle, Boy
Time 245 Elf Ryan: Wrapped Toy whistle, in Blue wrapping paper.
Time 245 Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 252 Elf Ryan: Selected Toy dinosaur, Boy
Time 259 Elf Ryan: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 259 Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 267 Elf Ryan: Selected Toy dinosaur, Boy
Time 273 Elf Ryan: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 273 Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 277 Elf Ryan: Selected Toy fake tattoo, Girl
Time 282 Elf Ryan: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 282 Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 285 Elf Ryan: Selected Toy dinosaur, Girl
Time 288 Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 288 Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 291 Elf Ryan: Selected Toy bracelet, Girl
Time 292 Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
Time 292 Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 300 Elf Ryan: Selected Toy bracelet, Girl
Time 307 Elf Ryan: Wrapped Toy bracelet, in Pink wrapping paper.
Time 307 Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 309 Elf Ryan: Selected Toy train, Girl
Time 310 Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 310 Elf Ryan: Placed Toy train, on the sleigh. 
Time 312 Elf Ryan: Selected Toy fake tattoo, Boy
Time 313 Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 313 Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 318 Elf Ryan: Selected Toy whistle, Boy
Time 318 Elf Ryan: Wrapped Toy whistle, in Blue wrapping paper.
Time 318 Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 325 Elf Ryan: Selected Toy fake tattoo, Girl
Time 332 Elf Ryan: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 333 Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 336 Elf Ryan: Selected Toy train, Boy
Time 343 Elf Ryan: Wrapped Toy train, in Blue wrapping paper.
Time 343 Elf Ryan: Placed Toy train, on the sleigh. 
Time 346 Elf Ryan: Selected Toy whistle, Girl
Time 352 Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 352 Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 357 Elf Ryan: Selected Toy train, Boy
Time 363 Elf Ryan: Wrapped Toy train, in Blue wrapping paper.
Time 363 Elf Ryan: Placed Toy train, on the sleigh. 
Time 365 Elf Ryan: Selected Toy train, Girl
Time 366 Elf Ryan: Wrapped Toy train, in Pink wrapping paper.
Time 366 Elf Ryan: Placed Toy train, on the sleigh. 
Time 375 Elf Ryan: Selected Toy doll, Boy
Time 382 Elf Ryan: Wrapped Toy doll, in Blue wrapping paper.
Time 382 Elf Ryan: Placed Toy doll, on the sleigh. 
Time 389 Elf Ryan: Selected Toy doll, Girl
Time 398 Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 398 Elf Ryan: Placed Toy doll, on the sleigh. 
Time 403 Elf Ryan: Selected Toy whistle, Girl
Time 405 Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 405 Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 411 Elf Ryan: Selected Toy dinosaur, Girl
Time 419 Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 419 Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 423 Elf Ryan: Selected Toy fake tattoo, Girl
Time 430 Elf Ryan: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 430 Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 433 Elf Ryan: Selected Toy doll, Girl
Time 438 Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 438 Elf Ryan: Placed Toy doll, on the sleigh. 
Time 446 Elf Ryan: Selected Toy doll, Girl
Time 452 Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 452 Elf Ryan: Placed Toy doll, on the sleigh. 
Time 458 Elf Ryan: Selected Toy dinosaur, Girl
Time 462 Elf Ryan: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 462 Elf Ryan: Placed Toy dinosaur, on the sleigh. 
Time 464 Elf Ryan: Selected Toy doll, Girl
Time 471 Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 471 Elf Ryan: Placed Toy doll, on the sleigh. 
Time 472 Elf Ryan: Selected Toy whistle, Girl
Time 478 Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 478 Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 479 Elf Ryan: Selected Toy bracelet, Boy
Time 480 Elf Ryan: Wrapped Toy bracelet, in Blue wrapping paper.
Time 480 Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 480 Elf Ryan: Selected Toy whistle, Girl
Time 480 Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 480 Elf Ryan: Placed Toy whistle, on the sleigh. 
