Time 9 Elf Matt: Selected Toy train, Girl
Time 110 Elf Matt: Placed Toy fake tattoo, on the sleigh. 
Time 115 Elf Matt: Selected Toy doll, Boy
Time 123 Elf Matt: Wrapped Toy doll, in Blue wrapping paper.
Time 123 Elf Matt: Placed Toy doll, on the sleigh. 
Time 131 Elf Matt: Selected Toy doll, Boy
Time 135 Elf Matt: Wrapped Toy doll, in Blue wrapping paper.
Time 135 Elf Matt: Placed Toy doll, on the sleigh. 
Time 137 Elf Matt: Selected Toy fake tattoo, Girl
Time 146 Elf Matt: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 146 Elf Matt: Placed Toy fake tattoo, on the sleigh. 
Time 153 Elf Matt: Selected Toy bracelet, Girl
Time 156 Elf Matt: Wrapped Toy bracelet, in Pink wrapping paper.
Time 156 Elf Matt: Placed Toy bracelet, on the sleigh. 
Time 161 Elf Matt: Selected Toy bracelet, Boy
Time 168 Elf Matt: Wrapped Toy bracelet, in Blue wrapping paper.
Time 168 Elf Matt: Placed Toy bracelet, on the sleigh. 
Time 175 Elf Matt: Selected Toy whistle, Boy
Time 179 Elf Matt: Wrapped Toy whistle, in Blue wrapping paper.
Time 179 Elf Matt: Placed Toy whistle, on the sleigh. 
Time 181 Elf Matt: Selected Toy whistle, Boy
Time 184 Elf Matt: Wrapped Toy whistle, in Blue wrapping paper.
Time 184 Elf Matt: Placed Toy whistle, on the sleigh. 
Time 190 Elf Matt: Selected Toy train, Girl
Time 194 Elf Matt: Wrapped Toy train, in Pink wrapping paper.
Time 194 Elf Matt: Placed Toy train, on the sleigh. 
Time 201 Elf Matt: Selected Toy bracelet, Boy
Time 207 Elf Matt: Wrapped Toy bracelet, in Blue wrapping paper.
Time 207 Elf Matt: Placed Toy bracelet, on the sleigh. 
Time 212 Elf Matt: Selected Toy fake tattoo, Girl
Time 219 Elf Matt: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 219 Elf Matt: Placed Toy fake tattoo, on the sleigh. 
Time 224 Elf Matt: Selected Toy fake tattoo, Girl
Time 228 Elf Matt: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 228 Elf Matt: Placed Toy fake tattoo, on the sleigh. 
Time 235 Elf Matt: Selected Toy train, Boy
Time 238 Elf Matt: Wrapped Toy train, in Blue wrapping paper.
Time 238 Elf Matt: Placed Toy train, on the sleigh. 
Time 242 Elf Matt: Selected Toy dinosaur, Girl
Time 249 Elf Matt: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 249 Elf Matt: Placed Toy dinosaur, on the sleigh. 
Time 256 Elf Matt: Selected Toy train, Girl
Time 260 Elf Matt: Wrapped Toy train, in Pink wrapping paper.
Time 260 Elf Matt: Placed Toy train, on the sleigh. 
Time 269 Elf Matt: Selected Toy fake tattoo, Girl
Time 271 Elf Matt: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 271 Elf Matt: Placed Toy fake tattoo, on the sleigh. 
Time 275 Elf Matt: Selected Toy whistle, Boy
Time 282 Elf Matt: Wrapped Toy whistle, in Blue wrapping paper.
Time 282 Elf Matt: Placed Toy whistle, on the sleigh. 
Time 289 Elf Matt: Selected Toy dinosaur, Girl
Time 292 Elf Matt: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 292 Elf Matt: Placed Toy dinosaur, on the sleigh. 
Time 299 Elf Matt: Selected Toy whistle, Boy
Time 306 Elf Matt: Wrapped Toy whistle, in Blue wrapping paper.
Time 306 Elf Matt: Placed Toy whistle, on the sleigh. 
Time 310 Elf Matt: Selected Toy dinosaur, Girl
Time 315 Elf Matt: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 315 Elf Matt: Placed Toy dinosaur, on the sleigh. 
Time 316 Elf Matt: Selected Toy dinosaur, Boy
Time 321 Elf Matt: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 321 Elf Matt: Placed Toy dinosaur, on the sleigh. 
Time 327 Elf Matt: Selected Toy bracelet, Girl
Time 331 Elf Matt: Wrapped Toy bracelet, in Pink wrapping paper.
Time 331 Elf Matt: Placed Toy bracelet, on the sleigh. 
Time 331 Elf Matt: Selected Toy fake tattoo, Girl
Time 336 Elf Matt: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 336 Elf Matt: Placed Toy fake tattoo, on the sleigh. 
Time 345 Elf Matt: Selected Toy train, Girl
Time 345 Elf Matt: Wrapped Toy train, in Pink wrapping paper.
Time 345 Elf Matt: Placed Toy train, on the sleigh. 
Time 346 Elf Matt: Selected Toy bracelet, Boy
Time 349 Elf Matt: Wrapped Toy bracelet, in Blue wrapping paper.
Time 350 Elf Matt: Placed Toy bracelet, on the sleigh. 
Time 351 Elf Matt: Selected Toy train, Boy
Time 357 Elf Matt: Wrapped Toy train, in Blue wrapping paper.
Time 357 Elf Matt: Placed Toy train, on the sleigh. 
Time 361 Elf Matt: Selected Toy doll, Boy
Time 368 Elf Matt: Wrapped Toy doll, in Blue wrapping paper.
Time 368 Elf Matt: Placed Toy doll, on the sleigh. 
Time 375 Elf Matt: Selected Toy train, Girl
Time 384 Elf Matt: Wrapped Toy train, in Pink wrapping paper.
Time 384 Elf Matt: Placed Toy train, on the sleigh. 
Time 388 Elf Matt: Selected Toy doll, Girl
Time 388 Elf Matt: Wrapped Toy doll, in Pink wrapping paper.
Time 388 Elf Matt: Placed Toy doll, on the sleigh. 
Time 389 Elf Matt: Selected Toy train, Girl
Time 396 Elf Matt: Wrapped Toy train, in Pink wrapping paper.
Time 396 Elf Matt: Placed Toy train, on the sleigh. 
Time 404 Elf Matt: Selected Toy dinosaur, Boy
Time 406 Elf Matt: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 406 Elf Matt: Placed Toy dinosaur, on the sleigh. 
Time 414 Elf Matt: Selected Toy doll, Boy
Time 421 Elf Matt: Wrapped Toy doll, in Blue wrapping paper.
Time 421 Elf Matt: Placed Toy doll, on the sleigh. 
Time 429 Elf Matt: Selected Toy bracelet, Boy
Time 431 Elf Matt: Wrapped Toy bracelet, in Blue wrapping paper.
Time 431 Elf Matt: Placed Toy bracelet, on the sleigh. 
Time 437 Elf Matt: Selected Toy dinosaur, Boy
Time 439 Elf Matt: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 439 Elf Matt: Placed Toy dinosaur, on the sleigh. 
Time 441 Elf Matt: Selected Toy bracelet, Girl
Time 446 Elf Matt: Wrapped Toy bracelet, in Pink wrapping paper.
Time 446 Elf Matt: Placed Toy bracelet, on the sleigh. 
Time 453 Elf Matt: Selected Toy train, Boy
Time 457 Elf Matt: Wrapped Toy train, in Blue wrapping paper.
Time 457 Elf Matt: Placed Toy train, on the sleigh. 
Time 464 Elf Matt: Selected Toy dinosaur, Girl
Time 470 Elf Matt: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 470 Elf Matt: Placed Toy dinosaur, on the sleigh. 
Time 478 Elf Matt: Selected Toy bracelet, Girl
Time 480 Elf Matt: Wrapped Toy bracelet, in Pink wrapping paper.
Time 480 Elf Matt: Placed Toy bracelet, on the sleigh. 
