Time 1 Elf Elf Ryan2: Selected Toy fake tattoo, Girl
Time 93 Elf Elf Ryan2: Selected Toy whistle, Girl
Time 94 Elf Elf Ryan2: Wrapped Toy whistle, in Pink wrapping paper.
Time 94 Elf Elf Ryan2: Placed Toy whistle, on the sleigh. 
Time 98 Elf Elf Ryan2: Selected Toy doll, Girl
Time 99 Elf Elf Ryan2: Wrapped Toy doll, in Pink wrapping paper.
Time 99 Elf Elf Ryan2: Placed Toy doll, on the sleigh. 
Time 103 Elf Elf Ryan2: Selected Toy whistle, Girl
Time 104 Elf Elf Ryan2: Wrapped Toy whistle, in Pink wrapping paper.
Time 104 Elf Elf Ryan2: Placed Toy whistle, on the sleigh. 
Time 108 Elf Elf Ryan2: Selected Toy whistle, Boy
Time 109 Elf Elf Ryan2: Wrapped Toy whistle, in Blue wrapping paper.
Time 109 Elf Elf Ryan2: Placed Toy whistle, on the sleigh. 
Time 112 Elf Elf Ryan2: Selected Toy fake tattoo, Girl
Time 113 Elf Elf Ryan2: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 113 Elf Elf Ryan2: Placed Toy fake tattoo, on the sleigh. 
Time 117 Elf Elf Ryan2: Selected Toy doll, Boy
Time 118 Elf Elf Ryan2: Wrapped Toy doll, in Blue wrapping paper.
Time 118 Elf Elf Ryan2: Placed Toy doll, on the sleigh. 
Time 122 Elf Elf Ryan2: Selected Toy whistle, Boy
Time 123 Elf Elf Ryan2: Wrapped Toy whistle, in Blue wrapping paper.
Time 123 Elf Elf Ryan2: Placed Toy whistle, on the sleigh. 
Time 127 Elf Elf Ryan2: Selected Toy bracelet, Boy
Time 127 Elf Elf Ryan2: Wrapped Toy bracelet, in Blue wrapping paper.
Time 127 Elf Elf Ryan2: Placed Toy bracelet, on the sleigh. 
Time 131 Elf Elf Ryan2: Selected Toy train, Boy
Time 132 Elf Elf Ryan2: Wrapped Toy train, in Blue wrapping paper.
Time 132 Elf Elf Ryan2: Placed Toy train, on the sleigh. 
Time 136 Elf Elf Ryan2: Selected Toy bracelet, Girl
Time 136 Elf Elf Ryan2: Wrapped Toy bracelet, in Pink wrapping paper.
Time 136 Elf Elf Ryan2: Placed Toy bracelet, on the sleigh. 
Time 140 Elf Elf Ryan2: Selected Toy fake tattoo, Boy
Time 140 Elf Elf Ryan2: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 140 Elf Elf Ryan2: Placed Toy fake tattoo, on the sleigh. 
Time 144 Elf Elf Ryan2: Selected Toy fake tattoo, Boy
Time 145 Elf Elf Ryan2: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 145 Elf Elf Ryan2: Placed Toy fake tattoo, on the sleigh. 
Time 149 Elf Elf Ryan2: Selected Toy whistle, Boy
Time 149 Elf Elf Ryan2: Wrapped Toy whistle, in Blue wrapping paper.
Time 149 Elf Elf Ryan2: Placed Toy whistle, on the sleigh. 
Time 154 Elf Elf Ryan2: Selected Toy dinosaur, Boy
Time 154 Elf Elf Ryan2: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 154 Elf Elf Ryan2: Placed Toy dinosaur, on the sleigh. 
Time 158 Elf Elf Ryan2: Selected Toy doll, Boy
Time 159 Elf Elf Ryan2: Wrapped Toy doll, in Blue wrapping paper.
Time 159 Elf Elf Ryan2: Placed Toy doll, on the sleigh. 
Time 162 Elf Elf Ryan2: Selected Toy whistle, Boy
Time 163 Elf Elf Ryan2: Wrapped Toy whistle, in Blue wrapping paper.
Time 163 Elf Elf Ryan2: Placed Toy whistle, on the sleigh. 
Time 167 Elf Elf Ryan2: Selected Toy fake tattoo, Girl
Time 168 Elf Elf Ryan2: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 168 Elf Elf Ryan2: Placed Toy fake tattoo, on the sleigh. 
Time 171 Elf Elf Ryan2: Selected Toy fake tattoo, Boy
Time 172 Elf Elf Ryan2: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 172 Elf Elf Ryan2: Placed Toy fake tattoo, on the sleigh. 
Time 176 Elf Elf Ryan2: Selected Toy doll, Girl
Time 177 Elf Elf Ryan2: Wrapped Toy doll, in Pink wrapping paper.
Time 177 Elf Elf Ryan2: Placed Toy doll, on the sleigh. 
Time 181 Elf Elf Ryan2: Selected Toy dinosaur, Girl
Time 182 Elf Elf Ryan2: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 182 Elf Elf Ryan2: Placed Toy dinosaur, on the sleigh. 
Time 186 Elf Elf Ryan2: Selected Toy dinosaur, Boy
Time 186 Elf Elf Ryan2: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 186 Elf Elf Ryan2: Placed Toy dinosaur, on the sleigh. 
Time 190 Elf Elf Ryan2: Selected Toy whistle, Boy
Time 191 Elf Elf Ryan2: Wrapped Toy whistle, in Blue wrapping paper.
Time 191 Elf Elf Ryan2: Placed Toy whistle, on the sleigh. 
Time 195 Elf Elf Ryan2: Selected Toy fake tattoo, Girl
Time 196 Elf Elf Ryan2: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 196 Elf Elf Ryan2: Placed Toy fake tattoo, on the sleigh. 
Time 199 Elf Elf Ryan2: Selected Toy train, Boy
Time 200 Elf Elf Ryan2: Wrapped Toy train, in Blue wrapping paper.
Time 200 Elf Elf Ryan2: Placed Toy train, on the sleigh. 
Time 204 Elf Elf Ryan2: Selected Toy fake tattoo, Girl
Time 205 Elf Elf Ryan2: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 2
