Time 1 Elf Elf Ryan: Selected Toy doll, Girl
Time 126 Elf Elf Ryan: Placed Toy bracelet, on the sleigh. 
Time 126 Elf Elf Ryan: Selected Toy fake tattoo, Boy
Time 127 Elf Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 127 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 127 Elf Elf Ryan: Selected Toy doll, Girl
Time 127 Elf Elf Ryan: Wrapped Toy doll, in Pink wrapping paper.
Time 127 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 128 Elf Elf Ryan: Selected Toy whistle, Girl
Time 129 Elf Elf Ryan: Wrapped Toy whistle, in Pink wrapping paper.
Time 129 Elf Elf Ryan: Placed Toy whistle, on the sleigh. 
Time 129 Elf Elf Ryan: Selected Toy doll, Boy
Time 129 Elf Elf Ryan: Wrapped Toy doll, in Blue wrapping paper.
Time 129 Elf Elf Ryan: Placed Toy doll, on the sleigh. 
Time 130 Elf Elf Ryan: Selected Toy fake tattoo, Boy
Time 130 Elf Elf Ryan: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 130 Elf Elf Ryan: Placed Toy fake tattoo, on the sleigh. 
Time 131 Elf Elf Ryan: Selected Toy fake tattoo, Boy
