Time 1 Elf Elf Liam3: Selected Toy fake tattoo, Girl
Time 67 Elf Elf Liam3: Wrapped Toy bracelet, in Pink wrapping paper.
Time 67 Elf Elf Liam3: Placed Toy bracelet, on the sleigh. 
Time 71 Elf Elf Liam3: Selected Toy train, Boy
Time 72 Elf Elf Liam3: Wrapped Toy train, in Blue wrapping paper.
Time 72 Elf Elf Liam3: Placed Toy train, on the sleigh. 
Time 75 Elf Elf Liam3: Selected Toy doll, Girl
Time 76 Elf Elf Liam3: Wrapped Toy doll, in Pink wrapping paper.
Time 76 Elf Elf Liam3: Placed Toy doll, on the sleigh. 
Time 80 Elf Elf Liam3: Selected Toy doll, Girl
Time 81 Elf Elf Liam3: Wrapped Toy doll, in Pink wrapping paper.
Time 81 Elf Elf Liam3: Placed Toy doll, on the sleigh. 
Time 84 Elf Elf Liam3: Selected Toy dinosaur, Girl
Time 84 Elf Elf Liam3: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 84 Elf Elf Liam3: Placed Toy dinosaur, on the sleigh. 
Time 88 Elf Elf Liam3: Selected Toy fake tattoo, Girl
Time 89 Elf Elf Liam3: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 89 Elf Elf Liam3: Placed Toy fake tattoo, on the sleigh. 
Time 93 Elf Elf Liam3: Selected Toy doll, Girl
Time 94 Elf Elf Liam3: Wrapped Toy doll, in Pink wrapping paper.
Time 94 Elf Elf Liam3: Placed Toy doll, on the sleigh. 
Time 98 Elf Elf Liam3: Selected Toy train, Boy
Time 98 Elf Elf Liam3: Wrapped Toy train, in Blue wrapping paper.
Time 98 Elf Elf Liam3: Placed Toy train, on the sleigh. 
Time 102 Elf Elf Liam3: Selected Toy dinosaur, Boy
Time 102 Elf Elf Liam3: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 102 Elf Elf Liam3: Placed Toy dinosaur, on the sleigh. 
Time 107 Elf Elf Liam3: Selected Toy doll, Girl
Time 107 Elf Elf Liam3: Wrapped Toy doll, in Pink wrapping paper.
Time 107 Elf Elf Liam3: Placed Toy doll, on the sleigh. 
Time 111 Elf Elf Liam3: Selected Toy dinosaur, Boy
Time 112 Elf Elf Liam3: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 112 Elf Elf Liam3: Placed Toy dinosaur, on the sleigh. 
Time 115 Elf Elf Liam3: Selected Toy whistle, Boy
Time 116 Elf Elf Liam3: Wrapped Toy whistle, in Blue wrapping paper.
Time 116 Elf Elf Liam3: Placed Toy whistle, on the sleigh. 
Time 120 Elf Elf Liam3: Selected Toy bracelet, Boy
Time 121 Elf Elf Liam3: Wrapped Toy bracelet, in Blue wrapping paper.
Time 121 Elf Elf Liam3: Placed Toy bracelet, on the sleigh. 
Time 125 Elf Elf Liam3: Selected Toy dinosaur, Girl
Time 126 Elf Elf Liam3: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 126 Elf Elf Liam3: Placed Toy dinosaur, on the sleigh. 
Time 130 Elf Elf Liam3: Selected Toy fake tattoo, Girl
Time 130 Elf Elf Liam3: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 130 Elf Elf Liam3: Placed Toy fake tattoo, on the sleigh. 
Time 134 Elf Elf Liam3: Selected Toy whistle, Boy
Time 135 Elf Elf Liam3: Wrapped Toy whistle, in Blue wrapping paper.
Time 135 Elf Elf Liam3: Placed Toy whistle, on the sleigh. 
Time 138 Elf Elf Liam3: Selected Toy fake tattoo, Boy
Time 139 Elf Elf Liam3: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 139 Elf Elf Liam3: Placed Toy fake tattoo, on the sleigh. 
Time 143 Elf Elf Liam3: Selected Toy fake tattoo, Boy
Time 143 Elf Elf Liam3: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 143 Elf Elf Liam3: Placed Toy fake tattoo, on the sleigh. 
Time 147 Elf Elf Liam3: Selected Toy train, Girl
Time 148 Elf Elf Liam3: Wrapped Toy train, in Pink wrapping paper.
Time 148 Elf Elf Liam3: Placed Toy train, on the sleigh. 
Time 152 Elf Elf Liam3: Selected Toy train, Girl
Time 153 Elf Elf Liam3: Wrapped Toy train, in Pink wrapping paper.
Time 153 Elf Elf Liam3: Placed Toy train, on the sleigh. 
Time 157 Elf Elf Liam3: Selected Toy dinosaur, Girl
Time 158 Elf Elf Liam3: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 158 Elf Elf Liam3: Placed Toy dinosaur, on the sleigh. 
Time 161 Elf Elf Liam3: Selected Toy doll, Boy
Time 162 Elf Elf Liam3: Wrapped Toy doll, in Blue wrapping paper.
Time 162 Elf Elf Liam3: Placed Toy doll, on the sleigh. 
Time 166 Elf Elf Liam3: Selected Toy whistle, Girl
Time 166 Elf Elf Liam3: Wrapped Toy whistle, in Pink wrapping paper.
Time 166 Elf Elf Liam3: Placed Toy whistle, on the sleigh. 
Time 170 Elf Elf Liam3: Selected Toy doll, Boy
Time 171 Elf Elf Liam3: Wrapped Toy doll, in Blue wrapping paper.
Time 171 Elf Elf Liam3: Placed Toy doll, on the sleigh. 
Time 174 Elf Elf Liam3: Selected Toy bracelet, Girl
Time 175 Elf Elf Liam3: Wrapped Toy bracelet, in Pink wrapping paper.
Time 175 Elf Elf Liam3: Placed Toy bracelet, on the sleigh. 
Time 179 Elf Elf Liam3: Selected Toy dinosaur, Girl
Time 180 Elf Elf Liam3: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 180 Elf Elf Liam3: Placed Toy dinosaur, on the sleigh. 
Time 184 Elf Elf Liam3: Selected Toy fake tattoo, Boy
Time 185 Elf Elf Liam3: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 185 Elf Elf Liam3: Placed Toy fake tattoo, on the sleigh. 
Time 189 Elf Elf Liam3: Selected Toy bracelet, Boy
Time 189 Elf Elf Liam3: Wrapped Toy bracelet, in Blue wrapping paper.
Time 189 Elf Elf Liam3: Placed Toy bracelet, on the sleigh. 
Time 193 Elf Elf Liam3: Selected Toy train, Girl
Time 193 Elf Elf Liam3: Wrapped Toy train, in Pink wrapping paper.
Time 193 Elf Elf Liam3: Placed Toy train, on the sleigh. 
Time 197 Elf Elf Liam3: Selected Toy bracelet, Boy
Time 198 Elf Elf Liam3: Wrapped Toy bracelet, in Blue wrapping paper.
Time 198 Elf Elf Liam3: Placed Toy bracelet, on the sleigh. 
Time 202 Elf Elf Liam3: Selected Toy whistle, Boy
Time 202 Elf Elf Liam3: Wrapped Toy whistle, in Blue wrapping paper.
Time 202 Elf Elf Liam3: Placed Toy whistle, on
