Time 1 Elf Elf Jack: Selected Toy bracelet, Boy
Time 10 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 11 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 12 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 12 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 13 Elf Elf Jack: Selected Toy doll, Boy
Time 13 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 13 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 14 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 14 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 14 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 15 Elf Elf Jack: Selected Toy bracelet, Girl
Time 16 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 16 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 17 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 17 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 17 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 18 Elf Elf Jack: Selected Toy train, Boy
Time 18 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 18 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 19 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 19 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 19 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 20 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 21 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 21 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 21 Elf Elf Jack: Selected Toy bracelet, Boy
Time 21 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 21 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 22 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 23 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 23 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 23 Elf Elf Jack: Selected Toy train, Boy
Time 24 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 24 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 25 Elf Elf Jack: Selected Toy whistle, Boy
Time 25 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 25 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 26 Elf Elf Jack: Selected Toy train, Girl
Time 27 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 27 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 27 Elf Elf Jack: Selected Toy whistle, Girl
Time 28 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 28 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 28 Elf Elf Jack: Selected Toy whistle, Girl
Time 29 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 29 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 29 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 30 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 30 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 30 Elf Elf Jack: Selected Toy bracelet, Boy
Time 31 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 31 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 31 Elf Elf Jack: Selected Toy doll, Boy
Time 31 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 31 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 31 Elf Elf Jack: Selected Toy whistle, Girl
Time 32 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 32 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 33 Elf Elf Jack: Selected Toy doll, Boy
Time 33 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 33 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 34 Elf Elf Jack: Selected Toy doll, Boy
Time 34 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 34 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 34 Elf Elf Jack: Selected Toy doll, Boy
Time 35 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 35 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 35 Elf Elf Jack: Selected Toy train, Boy
Time 36 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 36 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 36 Elf Elf Jack: Selected Toy train, Boy
Time 36 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 36 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 36 Elf Elf Jack: Selected Toy bracelet, Girl
Time 37 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 37 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 37 Elf Elf Jack: Selected Toy whistle, Boy
Time 37 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 37 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 38 Elf Elf Jack: Selected Toy bracelet, Girl
Time 38 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 38 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 38 Elf Elf Jack: Selected Toy bracelet, Boy
Time 39 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 39 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 39 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 40 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 40 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 40 Elf Elf Jack: Selected Toy bracelet, Boy
Time 40 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 40 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 40 Elf Elf Jack: Selected Toy whistle, Girl
Time 41 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 41 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 41 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 42 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 42 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 42 Elf Elf Jack: Selected Toy train, Boy
Time 43 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 43 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 43 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 44 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 44 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 44 Elf Elf Jack: Selected Toy doll, Boy
Time 44 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 44 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 45 Elf Elf Jack: Selected Toy doll, Boy
Time 46 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 46 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 46 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 47 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 47 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 47 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 48 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 48 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 48 Elf Elf Jack: Selected Toy train, Girl
Time 48 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 48 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 49 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 50 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 50 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 50 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 50 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 50 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 51 Elf Elf Jack: Selected Toy doll, Boy
Time 52 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 52 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 52 Elf Elf Jack: Selected Toy whistle, Boy
Time 52 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 52 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 53 Elf Elf Jack: Selected Toy whistle, Girl
Time 53 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 53 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 54 Elf Elf Jack: Selected Toy bracelet, Girl
Time 54 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 54 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 55 Elf Elf Jack: Selected Toy doll, Girl
Time 55 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 55 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 56 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 56 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 56 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 56 Elf Elf Jack: Selected Toy whistle, Boy
Time 57 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 57 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 58 Elf Elf Jack: Selected Toy doll, Boy
Time 58 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 58 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 58 Elf Elf Jack: Selected Toy doll, Girl
Time 59 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 59 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 59 Elf Elf Jack: Selected Toy train, Girl
Time 60 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 60 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 60 Elf Elf Jack: Selected Toy doll, Girl
Time 61 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 61 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 62 Elf Elf Jack: Selected Toy bracelet, Boy
Time 63 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 63 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 63 Elf Elf Jack: Selected Toy train, Boy
Time 63 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 63 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 64 Elf Elf Jack: Selected Toy whistle, Girl
Time 65 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 65 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 65 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 65 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 65 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 66 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 66 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 66 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 67 Elf Elf Jack: Selected Toy whistle, Girl
Time 68 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 68 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 68 Elf Elf Jack: Selected Toy bracelet, Girl
Time 69 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 69 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 69 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 69 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 69 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 70 Elf Elf Jack: Selected Toy train, Girl
Time 71 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 71 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 72 Elf Elf Jack: Selected Toy bracelet, Girl
Time 72 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 72 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 72 Elf Elf Jack: Selected Toy train, Girl
Time 73 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 73 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 73 Elf Elf Jack: Selected Toy whistle, Boy
Time 73 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 73 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 73 Elf Elf Jack: Selected Toy train, Girl
Time 74 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 74 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 75 Elf Elf Jack: Selected Toy train, Girl
Time 75 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 75 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 76 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 76 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 76 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 76 Elf Elf Jack: Selected Toy doll, Boy
Time 77 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 77 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 77 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 78 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 78 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 79 Elf Elf Jack: Selected Toy train, Girl
Time 79 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 79 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 80 Elf Elf Jack: Selected Toy train, Boy
Time 80 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 80 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 81 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 82 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 82 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 83 Elf Elf Jack: Selected Toy train, Boy
Time 84 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 84 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 84 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 84 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 84 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 85 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 86 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 86 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 87 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 87 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 87 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 88 Elf Elf Jack: Selected Toy train, Boy
Time 88 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 88 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 89 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 89 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 89 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 89 Elf Elf Jack: Selected Toy doll, Boy
Time 89 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 89 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 90 Elf Elf Jack: Selected Toy train, Boy
Time 90 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 90 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 91 Elf Elf Jack: Selected Toy doll, Girl
Time 91 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 91 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 91 Elf Elf Jack: Selected Toy bracelet, Girl
Time 92 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 92 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 92 Elf Elf Jack: Selected Toy whistle, Girl
Time 92 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 92 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 93 Elf Elf Jack: Selected Toy bracelet, Girl
Time 94 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 94 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 94 Elf Elf Jack: Selected Toy bracelet, Girl
Time 95 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 95 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 95 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 95 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 95 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 96 Elf Elf Jack: Selected Toy whistle, Girl
Time 96 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 96 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 96 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 97 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 97 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 97 Elf Elf Jack: Selected Toy bracelet, Boy
Time 97 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 97 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 97 Elf Elf Jack: Selected Toy bracelet, Boy
Time 98 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 98 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 99 Elf Elf Jack: Selected Toy doll, Girl
Time 99 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 99 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 100 Elf Elf Jack: Selected Toy bracelet, Boy
Time 100 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 100 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 101 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 101 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 101 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 102 Elf Elf Jack: Selected Toy bracelet, Boy
Time 102 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 102 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 103 Elf Elf Jack: Selected Toy whistle, Girl
Time 103 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 103 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 104 Elf Elf Jack: Selected Toy whistle, Girl
Time 104 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 104 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 104 Elf Elf Jack: Selected Toy bracelet, Girl
Time 104 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 104 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 104 Elf Elf Jack: Selected Toy bracelet, Girl
Time 105 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 105 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 105 Elf Elf Jack: Selected Toy whistle, Boy
Time 105 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 105 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 105 Elf Elf Jack: Selected Toy whistle, Girl
Time 106 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 106 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 106 Elf Elf Jack: Selected Toy bracelet, Girl
Time 107 Elf Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 107 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 108 Elf Elf Jack: Selected Toy doll, Girl
Time 108 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 108 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 108 Elf Elf Jack: Selected Toy bracelet, Boy
Time 109 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 109 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 110 Elf Elf Jack: Selected Toy train, Girl
Time 111 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 111 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 111 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 111 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 111 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 111 Elf Elf Jack: Selected Toy train, Boy
Time 112 Elf Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 112 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 112 Elf Elf Jack: Selected Toy dinosaur, Boy
Time 113 Elf Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 113 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 114 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 115 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 115 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 115 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 116 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 116 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 116 Elf Elf Jack: Selected Toy doll, Girl
Time 117 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 117 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 117 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 117 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 117 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 118 Elf Elf Jack: Selected Toy doll, Girl
Time 119 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 119 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 119 Elf Elf Jack: Selected Toy train, Girl
Time 120 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 120 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 120 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 121 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 121 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 121 Elf Elf Jack: Selected Toy whistle, Boy
Time 122 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 122 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 123 Elf Elf Jack: Selected Toy doll, Boy
Time 123 Elf Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 123 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 123 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 124 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 124 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 124 Elf Elf Jack: Selected Toy doll, Girl
Time 124 Elf Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 124 Elf Elf Jack: Placed Toy doll, on the sleigh. 
Time 124 Elf Elf Jack: Selected Toy whistle, Girl
Time 125 Elf Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 125 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 125 Elf Elf Jack: Selected Toy fake tattoo, Boy
Time 126 Elf Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 126 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 127 Elf Elf Jack: Selected Toy bracelet, Boy
Time 127 Elf Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 127 Elf Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 128 Elf Elf Jack: Selected Toy fake tattoo, Girl
Time 128 Elf Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 128 Elf Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 129 Elf Elf Jack: Selected Toy train, Girl
Time 129 Elf Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 129 Elf Elf Jack: Placed Toy train, on the sleigh. 
Time 130 Elf Elf Jack: Selected Toy whistle, Boy
Time 130 Elf Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 130 Elf Elf Jack: Placed Toy whistle, on the sleigh. 
Time 130 Elf Elf Jack: Selected Toy dinosaur, Girl
Time 130 Elf Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 130 Elf Elf Jack: Placed Toy dinosaur, on the sleigh. 
