Time 1 Elf Elf Liam: Selected Toy bracelet, Girl
Time 11 Elf Elf Liam: Wrapped Toy doll, in Pink wrapping paper.
Time 11 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 12 Elf Elf Liam: Selected Toy fake tattoo, Boy
Time 12 Elf Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 12 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 13 Elf Elf Liam: Selected Toy whistle, Girl
Time 13 Elf Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 13 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 14 Elf Elf Liam: Selected Toy bracelet, Boy
Time 14 Elf Elf Liam: Wrapped Toy bracelet, in Blue wrapping paper.
Time 14 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 15 Elf Elf Liam: Selected Toy fake tattoo, Boy
Time 15 Elf Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 15 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 15 Elf Elf Liam: Selected Toy bracelet, Boy
Time 16 Elf Elf Liam: Wrapped Toy bracelet, in Blue wrapping paper.
Time 16 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 16 Elf Elf Liam: Selected Toy whistle, Girl
Time 16 Elf Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 16 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 17 Elf Elf Liam: Selected Toy dinosaur, Girl
Time 17 Elf Elf Liam: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 17 Elf Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 18 Elf Elf Liam: Selected Toy doll, Girl
Time 19 Elf Elf Liam: Wrapped Toy doll, in Pink wrapping paper.
Time 19 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 19 Elf Elf Liam: Selected Toy train, Girl
Time 19 Elf Elf Liam: Wrapped Toy train, in Pink wrapping paper.
Time 19 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 20 Elf Elf Liam: Selected Toy doll, Boy
Time 21 Elf Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 21 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 21 Elf Elf Liam: Selected Toy bracelet, Girl
Time 22 Elf Elf Liam: Wrapped Toy bracelet, in Pink wrapping paper.
Time 22 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 22 Elf Elf Liam: Selected Toy fake tattoo, Girl
Time 22 Elf Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 22 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 23 Elf Elf Liam: Selected Toy fake tattoo, Girl
Time 24 Elf Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 24 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 24 Elf Elf Liam: Selected Toy train, Boy
Time 25 Elf Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 25 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 25 Elf Elf Liam: Selected Toy whistle, Boy
Time 26 Elf Elf Liam: Wrapped Toy whistle, in Blue wrapping paper.
Time 26 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 26 Elf Elf Liam: Selected Toy dinosaur, Girl
Time 27 Elf Elf Liam: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 27 Elf Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 27 Elf Elf Liam: Selected Toy train, Boy
Time 28 Elf Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 28 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 28 Elf Elf Liam: Selected Toy fake tattoo, Boy
Time 28 Elf Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 28 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 29 Elf Elf Liam: Selected Toy dinosaur, Boy
Time 30 Elf Elf Liam: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 30 Elf Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 31 Elf Elf Liam: Selected Toy doll, Boy
Time 32 Elf Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 32 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 32 Elf Elf Liam: Selected Toy doll, Boy
Time 33 Elf Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 33 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 33 Elf Elf Liam: Selected Toy whistle, Girl
Time 33 Elf Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 33 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 33 Elf Elf Liam: Selected Toy fake tattoo, Girl
Time 34 Elf Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 34 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 34 Elf Elf Liam: Selected Toy doll, Boy
Time 35 Elf Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 35 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 35 Elf Elf Liam: Selected Toy doll, Girl
Time 36 Elf Elf Liam: Wrapped Toy doll, in Pink wrapping paper.
Time 36 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 37 Elf Elf Liam: Selected Toy bracelet, Boy
Time 37 Elf Elf Liam: Wrapped Toy bracelet, in Blue wrapping paper.
Time 37 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 37 Elf Elf Liam: Selected Toy doll, Boy
Time 38 Elf Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 38 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 38 Elf Elf Liam: Selected Toy fake tattoo, Girl
Time 38 Elf Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 38 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 39 Elf Elf Liam: Selected Toy whistle, Girl
Time 39 Elf Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 39 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 39 Elf Elf Liam: Selected Toy bracelet, Boy
Time 40 Elf Elf Liam: Wrapped Toy bracelet, in Blue wrapping paper.
Time 40 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 40 Elf Elf Liam: Selected Toy fake tattoo, Boy
Time 40 Elf Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 40 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 40 Elf Elf Liam: Selected Toy bracelet, Boy
Time 41 Elf Elf Liam: Wrapped Toy bracelet, in Blue wrapping paper.
Time 41 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 42 Elf Elf Liam: Selected Toy whistle, Girl
Time 43 Elf Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 43 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 43 Elf Elf Liam: Selected Toy whistle, Boy
Time 44 Elf Elf Liam: Wrapped Toy whistle, in Blue wrapping paper.
Time 44 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 44 Elf Elf Liam: Selected Toy train, Girl
Time 44 Elf Elf Liam: Wrapped Toy train, in Pink wrapping paper.
Time 44 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 44 Elf Elf Liam: Selected Toy doll, Boy
Time 45 Elf Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 45 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 46 Elf Elf Liam: Selected Toy train, Boy
Time 46 Elf Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 46 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 47 Elf Elf Liam: Selected Toy train, Girl
Time 47 Elf Elf Liam: Wrapped Toy train, in Pink wrapping paper.
Time 47 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 48 Elf Elf Liam: Selected Toy train, Boy
Time 48 Elf Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 48 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 49 Elf Elf Liam: Selected Toy bracelet, Girl
Time 49 Elf Elf Liam: Wrapped Toy bracelet, in Pink wrapping paper.
Time 49 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 50 Elf Elf Liam: Selected Toy train, Boy
Time 50 Elf Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 50 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 51 Elf Elf Liam: Selected Toy train, Girl
Time 51 Elf Elf Liam: Wrapped Toy train, in Pink wrapping paper.
Time 51 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 51 Elf Elf Liam: Selected Toy fake tattoo, Boy
Time 52 Elf Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 52 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 52 Elf Elf Liam: Selected Toy fake tattoo, Girl
Time 53 Elf Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 53 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 53 Elf Elf Liam: Selected Toy doll, Boy
Time 54 Elf Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 54 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 54 Elf Elf Liam: Selected Toy bracelet, Boy
Time 54 Elf Elf Liam: Wrapped Toy bracelet, in Blue wrapping paper.
Time 54 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 55 Elf Elf Liam: Selected Toy fake tattoo, Boy
Time 55 Elf Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 55 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 56 Elf Elf Liam: Selected Toy doll, Girl
Time 56 Elf Elf Liam: Wrapped Toy doll, in Pink wrapping paper.
Time 56 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 57 Elf Elf Liam: Selected Toy bracelet, Boy
Time 58 Elf Elf Liam: Wrapped Toy bracelet, in Blue wrapping paper.
Time 58 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 58 Elf Elf Liam: Selected Toy dinosaur, Girl
Time 58 Elf Elf Liam: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 58 Elf Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 59 Elf Elf Liam: Selected Toy whistle, Girl
Time 60 Elf Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 60 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 60 Elf Elf Liam: Selected Toy bracelet, Girl
Time 61 Elf Elf Liam: Wrapped Toy bracelet, in Pink wrapping paper.
Time 61 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 61 Elf Elf Liam: Selected Toy fake tattoo, Girl
Time 62 Elf Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 62 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 62 Elf Elf Liam: Selected Toy bracelet, Girl
Time 63 Elf Elf Liam: Wrapped Toy bracelet, in Pink wrapping paper.
Time 63 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 63 Elf Elf Liam: Selected Toy fake tattoo, Girl
Time 63 Elf Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 63 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 64 Elf Elf Liam: Selected Toy whistle, Boy
Time 65 Elf Elf Liam: Wrapped Toy whistle, in Blue wrapping paper.
Time 65 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 65 Elf Elf Liam: Selected Toy bracelet, Girl
Time 65 Elf Elf Liam: Wrapped Toy bracelet, in Pink wrapping paper.
Time 65 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 66 Elf Elf Liam: Selected Toy whistle, Girl
Time 66 Elf Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 66 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 67 Elf Elf Liam: Selected Toy whistle, Boy
Time 67 Elf Elf Liam: Wrapped Toy whistle, in Blue wrapping paper.
Time 67 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 67 Elf Elf Liam: Selected Toy whistle, Girl
Time 68 Elf Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 68 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 69 Elf Elf Liam: Selected Toy fake tattoo, Girl
Time 69 Elf Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 69 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 69 Elf Elf Liam: Selected Toy fake tattoo, Girl
Time 69 Elf Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 69 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 69 Elf Elf Liam: Selected Toy fake tattoo, Boy
Time 70 Elf Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 70 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 71 Elf Elf Liam: Selected Toy whistle, Boy
Time 71 Elf Elf Liam: Wrapped Toy whistle, in Blue wrapping paper.
Time 71 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 71 Elf Elf Liam: Selected Toy dinosaur, Girl
Time 71 Elf Elf Liam: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 71 Elf Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 72 Elf Elf Liam: Selected Toy train, Boy
Time 73 Elf Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 73 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 73 Elf Elf Liam: Selected Toy dinosaur, Girl
Time 74 Elf Elf Liam: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 74 Elf Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 74 Elf Elf Liam: Selected Toy whistle, Boy
Time 74 Elf Elf Liam: Wrapped Toy whistle, in Blue wrapping paper.
Time 74 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 75 Elf Elf Liam: Selected Toy bracelet, Girl
Time 76 Elf Elf Liam: Wrapped Toy bracelet, in Pink wrapping paper.
Time 76 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 76 Elf Elf Liam: Selected Toy whistle, Girl
Time 77 Elf Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 77 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 78 Elf Elf Liam: Selected Toy train, Boy
Time 78 Elf Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 78 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 79 Elf Elf Liam: Selected Toy train, Girl
Time 79 Elf Elf Liam: Wrapped Toy train, in Pink wrapping paper.
Time 79 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 80 Elf Elf Liam: Selected Toy bracelet, Girl
Time 80 Elf Elf Liam: Wrapped Toy bracelet, in Pink wrapping paper.
Time 80 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 80 Elf Elf Liam: Selected Toy whistle, Boy
Time 81 Elf Elf Liam: Wrapped Toy whistle, in Blue wrapping paper.
Time 81 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 81 Elf Elf Liam: Selected Toy doll, Boy
Time 82 Elf Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 82 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 82 Elf Elf Liam: Selected Toy doll, Boy
Time 83 Elf Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 83 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 84 Elf Elf Liam: Selected Toy train, Girl
Time 85 Elf Elf Liam: Wrapped Toy train, in Pink wrapping paper.
Time 85 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 86 Elf Elf Liam: Selected Toy dinosaur, Boy
Time 86 Elf Elf Liam: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 86 Elf Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 87 Elf Elf Liam: Selected Toy whistle, Boy
Time 88 Elf Elf Liam: Wrapped Toy whistle, in Blue wrapping paper.
Time 88 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 89 Elf Elf Liam: Selected Toy whistle, Boy
Time 89 Elf Elf Liam: Wrapped Toy whistle, in Blue wrapping paper.
Time 89 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 89 Elf Elf Liam: Selected Toy train, Boy
Time 90 Elf Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 90 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 91 Elf Elf Liam: Selected Toy bracelet, Boy
Time 91 Elf Elf Liam: Wrapped Toy bracelet, in Blue wrapping paper.
Time 91 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 91 Elf Elf Liam: Selected Toy whistle, Boy
Time 92 Elf Elf Liam: Wrapped Toy whistle, in Blue wrapping paper.
Time 92 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 92 Elf Elf Liam: Selected Toy doll, Girl
Time 92 Elf Elf Liam: Wrapped Toy doll, in Pink wrapping paper.
Time 92 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 92 Elf Elf Liam: Selected Toy fake tattoo, Girl
Time 93 Elf Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 93 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 93 Elf Elf Liam: Selected Toy bracelet, Girl
Time 93 Elf Elf Liam: Wrapped Toy bracelet, in Pink wrapping paper.
Time 93 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 93 Elf Elf Liam: Selected Toy whistle, Girl
Time 94 Elf Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 94 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 95 Elf Elf Liam: Selected Toy fake tattoo, Girl
Time 95 Elf Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 95 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 95 Elf Elf Liam: Selected Toy doll, Girl
Time 96 Elf Elf Liam: Wrapped Toy doll, in Pink wrapping paper.
Time 96 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 96 Elf Elf Liam: Selected Toy dinosaur, Boy
Time 97 Elf Elf Liam: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 97 Elf Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 97 Elf Elf Liam: Selected Toy fake tattoo, Girl
Time 98 Elf Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 98 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 98 Elf Elf Liam: Selected Toy dinosaur, Boy
Time 99 Elf Elf Liam: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 99 Elf Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 99 Elf Elf Liam: Selected Toy fake tattoo, Girl
Time 100 Elf Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 100 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 100 Elf Elf Liam: Selected Toy whistle, Girl
Time 101 Elf Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 101 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 102 Elf Elf Liam: Selected Toy whistle, Boy
Time 102 Elf Elf Liam: Wrapped Toy whistle, in Blue wrapping paper.
Time 102 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 103 Elf Elf Liam: Selected Toy fake tattoo, Boy
Time 103 Elf Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 103 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 103 Elf Elf Liam: Selected Toy bracelet, Girl
Time 103 Elf Elf Liam: Wrapped Toy bracelet, in Pink wrapping paper.
Time 103 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 103 Elf Elf Liam: Selected Toy dinosaur, Girl
Time 104 Elf Elf Liam: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 104 Elf Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 105 Elf Elf Liam: Selected Toy whistle, Girl
Time 106 Elf Elf Liam: Wrapped Toy whistle, in Pink wrapping paper.
Time 106 Elf Elf Liam: Placed Toy whistle, on the sleigh. 
Time 106 Elf Elf Liam: Selected Toy dinosaur, Boy
Time 106 Elf Elf Liam: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 106 Elf Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 107 Elf Elf Liam: Selected Toy fake tattoo, Girl
Time 108 Elf Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 108 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 109 Elf Elf Liam: Selected Toy bracelet, Boy
Time 109 Elf Elf Liam: Wrapped Toy bracelet, in Blue wrapping paper.
Time 109 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 110 Elf Elf Liam: Selected Toy doll, Boy
Time 111 Elf Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 111 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 111 Elf Elf Liam: Selected Toy bracelet, Girl
Time 112 Elf Elf Liam: Wrapped Toy bracelet, in Pink wrapping paper.
Time 112 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 112 Elf Elf Liam: Selected Toy fake tattoo, Boy
Time 113 Elf Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 113 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 113 Elf Elf Liam: Selected Toy train, Girl
Time 113 Elf Elf Liam: Wrapped Toy train, in Pink wrapping paper.
Time 113 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 113 Elf Elf Liam: Selected Toy doll, Girl
Time 114 Elf Elf Liam: Wrapped Toy doll, in Pink wrapping paper.
Time 114 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 114 Elf Elf Liam: Selected Toy doll, Boy
Time 114 Elf Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 114 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 115 Elf Elf Liam: Selected Toy dinosaur, Boy
Time 115 Elf Elf Liam: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 115 Elf Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 115 Elf Elf Liam: Selected Toy doll, Boy
Time 116 Elf Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 116 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 116 Elf Elf Liam: Selected Toy doll, Boy
Time 116 Elf Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 116 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 117 Elf Elf Liam: Selected Toy doll, Boy
Time 117 Elf Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 117 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 117 Elf Elf Liam: Selected Toy fake tattoo, Boy
Time 117 Elf Elf Liam: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 117 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 118 Elf Elf Liam: Selected Toy doll, Girl
Time 118 Elf Elf Liam: Wrapped Toy doll, in Pink wrapping paper.
Time 118 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 118 Elf Elf Liam: Selected Toy fake tattoo, Girl
Time 119 Elf Elf Liam: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 119 Elf Elf Liam: Placed Toy fake tattoo, on the sleigh. 
Time 119 Elf Elf Liam: Selected Toy train, Boy
Time 120 Elf Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 120 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 121 Elf Elf Liam: Selected Toy bracelet, Boy
Time 121 Elf Elf Liam: Wrapped Toy bracelet, in Blue wrapping paper.
Time 121 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 121 Elf Elf Liam: Selected Toy bracelet, Girl
Time 122 Elf Elf Liam: Wrapped Toy bracelet, in Pink wrapping paper.
Time 122 Elf Elf Liam: Placed Toy bracelet, on the sleigh. 
Time 122 Elf Elf Liam: Selected Toy train, Boy
Time 123 Elf Elf Liam: Wrapped Toy train, in Blue wrapping paper.
Time 123 Elf Elf Liam: Placed Toy train, on the sleigh. 
Time 124 Elf Elf Liam: Selected Toy doll, Girl
Time 125 Elf Elf Liam: Wrapped Toy doll, in Pink wrapping paper.
Time 125 Elf Elf Liam: Placed Toy doll, on the sleigh. 
Time 125 Elf Elf Liam: Selected Toy dinosaur, Girl
Time 125 Elf Elf Liam: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 125 Elf Elf Liam: Placed Toy dinosaur, on the sleigh. 
Time 126 Elf Elf Liam: Selected Toy doll, Boy
Time 126 Elf Elf Liam: Wrapped Toy doll, in Blue wrapping paper.
Time 126 Elf Elf Liam: Placed Toy doll, on the sleigh. 
