Time 1Elf Jack: Selected Toy fake tattoo, Girl
Time 4Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 4Elf Jack: Placed Toy whistle, on the sleigh. 
Time 4Elf Jack: Selected Toy fake tattoo, Girl
Time 4Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 4Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 4Elf Jack: Selected Toy fake tattoo, Boy
Time 4Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 4Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 4Elf Jack: Selected Toy fake tattoo, Girl
Time 4Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 4Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 4Elf Jack: Selected Toy bracelet, Girl
Time 4Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 4Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 4Elf Jack: Selected Toy whistle, Girl
Time 4Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 4Elf Jack: Placed Toy whistle, on the sleigh. 
Time 4Elf Jack: Selected Toy whistle, Boy
Time 4Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 4Elf Jack: Placed Toy whistle, on the sleigh. 
Time 4Elf Jack: Selected Toy doll, Boy
Time 4Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 4Elf Jack: Placed Toy doll, on the sleigh. 
Time 4Elf Jack: Selected Toy whistle, Boy
Time 4Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 5Elf Jack: Placed Toy whistle, on the sleigh. 
Time 5Elf Jack: Selected Toy fake tattoo, Girl
Time 5Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 5Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 5Elf Jack: Selected Toy bracelet, Girl
Time 5Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 5Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 5Elf Jack: Selected Toy bracelet, Boy
Time 5Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 5Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 5Elf Jack: Selected Toy fake tattoo, Girl
Time 5Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 5Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 5Elf Jack: Selected Toy whistle, Girl
Time 5Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 5Elf Jack: Placed Toy whistle, on the sleigh. 
Time 5Elf Jack: Selected Toy whistle, Girl
Time 5Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 5Elf Jack: Placed Toy whistle, on the sleigh. 
Time 5Elf Jack: Selected Toy whistle, Boy
Time 5Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 5Elf Jack: Placed Toy whistle, on the sleigh. 
Time 5Elf Jack: Selected Toy fake tattoo, Girl
Time 6Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 6Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 6Elf Jack: Selected Toy train, Boy
Time 6Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 6Elf Jack: Placed Toy train, on the sleigh. 
Time 6Elf Jack: Selected Toy whistle, Boy
Time 6Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 6Elf Jack: Placed Toy whistle, on the sleigh. 
Time 6Elf Jack: Selected Toy bracelet, Boy
Time 6Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 6Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 6Elf Jack: Selected Toy bracelet, Boy
Time 6Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 6Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 6Elf Jack: Selected Toy whistle, Boy
Time 6Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 6Elf Jack: Placed Toy whistle, on the sleigh. 
Time 6Elf Jack: Selected Toy bracelet, Girl
Time 6Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 6Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 6Elf Jack: Selected Toy bracelet, Girl
Time 6Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 6Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 6Elf Jack: Selected Toy train, Boy
Time 6Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 6Elf Jack: Placed Toy train, on the sleigh. 
Time 6Elf Jack: Selected Toy fake tattoo, Boy
Time 6Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 6Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 6Elf Jack: Selected Toy dinosaur, Boy
Time 6Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 6Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 6Elf Jack: Selected Toy whistle, Girl
Time 6Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 6Elf Jack: Placed Toy whistle, on the sleigh. 
Time 7Elf Jack: Selected Toy dinosaur, Boy
Time 7Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 7Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 7Elf Jack: Selected Toy fake tattoo, Boy
Time 7Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 7Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 7Elf Jack: Selected Toy whistle, Boy
Time 7Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 7Elf Jack: Placed Toy whistle, on the sleigh. 
Time 7Elf Jack: Selected Toy train, Girl
Time 7Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 7Elf Jack: Placed Toy train, on the sleigh. 
Time 7Elf Jack: Selected Toy fake tattoo, Girl
Time 7Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 7Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 7Elf Jack: Selected Toy fake tattoo, Girl
Time 7Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 7Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 7Elf Jack: Selected Toy train, Girl
Time 7Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 7Elf Jack: Placed Toy train, on the sleigh. 
Time 7Elf Jack: Selected Toy bracelet, Boy
Time 7Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 7Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 7Elf Jack: Selected Toy bracelet, Boy
Time 7Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 7Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 7Elf Jack: Selected Toy doll, Girl
Time 8Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 8Elf Jack: Placed Toy doll, on the sleigh. 
Time 8Elf Jack: Selected Toy dinosaur, Boy
Time 8Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 8Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 8Elf Jack: Selected Toy train, Boy
Time 8Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 8Elf Jack: Placed Toy train, on the sleigh. 
Time 8Elf Jack: Selected Toy bracelet, Boy
Time 8Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 8Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 8Elf Jack: Selected Toy fake tattoo, Boy
Time 8Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 8Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 8Elf Jack: Selected Toy bracelet, Boy
Time 8Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 8Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 8Elf Jack: Selected Toy whistle, Girl
Time 8Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 8Elf Jack: Placed Toy whistle, on the sleigh. 
Time 8Elf Jack: Selected Toy whistle, Boy
Time 8Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 8Elf Jack: Placed Toy whistle, on the sleigh. 
Time 8Elf Jack: Selected Toy dinosaur, Girl
Time 8Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 8Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 8Elf Jack: Selected Toy whistle, Girl
Time 8Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 8Elf Jack: Placed Toy whistle, on the sleigh. 
Time 9Elf Jack: Selected Toy train, Girl
Time 9Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 9Elf Jack: Placed Toy train, on the sleigh. 
Time 9Elf Jack: Selected Toy doll, Boy
Time 9Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 9Elf Jack: Placed Toy doll, on the sleigh. 
Time 9Elf Jack: Selected Toy dinosaur, Boy
Time 9Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 9Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 9Elf Jack: Selected Toy fake tattoo, Girl
Time 9Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 9Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 9Elf Jack: Selected Toy whistle, Boy
Time 9Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 9Elf Jack: Placed Toy whistle, on the sleigh. 
Time 9Elf Jack: Selected Toy train, Girl
Time 9Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 9Elf Jack: Placed Toy train, on the sleigh. 
Time 9Elf Jack: Selected Toy whistle, Girl
Time 9Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 9Elf Jack: Placed Toy whistle, on the sleigh. 
Time 9Elf Jack: Selected Toy train, Girl
Time 9Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 9Elf Jack: Placed Toy train, on the sleigh. 
Time 9Elf Jack: Selected Toy bracelet, Girl
Time 9Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 9Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 9Elf Jack: Selected Toy doll, Girl
Time 9Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 9Elf Jack: Placed Toy doll, on the sleigh. 
Time 10Elf Jack: Selected Toy dinosaur, Girl
Time 10Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 10Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 10Elf Jack: Selected Toy doll, Boy
Time 10Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 10Elf Jack: Placed Toy doll, on the sleigh. 
Time 10Elf Jack: Selected Toy whistle, Boy
Time 10Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 10Elf Jack: Placed Toy whistle, on the sleigh. 
Time 10Elf Jack: Selected Toy doll, Boy
Time 10Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 10Elf Jack: Placed Toy doll, on the sleigh. 
Time 10Elf Jack: Selected Toy whistle, Girl
Time 10Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 10Elf Jack: Placed Toy whistle, on the sleigh. 
Time 10Elf Jack: Selected Toy train, Boy
Time 10Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 10Elf Jack: Placed Toy train, on the sleigh. 
Time 10Elf Jack: Selected Toy bracelet, Girl
Time 10Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 10Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 10Elf Jack: Selected Toy bracelet, Girl
Time 10Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 10Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 10Elf Jack: Selected Toy bracelet, Girl
Time 10Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 10Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 11Elf Jack: Selected Toy fake tattoo, Girl
Time 11Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 11Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 11Elf Jack: Selected Toy whistle, Girl
Time 11Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 11Elf Jack: Placed Toy whistle, on the sleigh. 
Time 11Elf Jack: Selected Toy bracelet, Girl
Time 11Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 11Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 11Elf Jack: Selected Toy doll, Girl
Time 11Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 11Elf Jack: Placed Toy doll, on the sleigh. 
Time 11Elf Jack: Selected Toy dinosaur, Boy
Time 11Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 11Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 11Elf Jack: Selected Toy train, Girl
Time 11Elf Jack: Wrapped Toy train, in Pink wrapping paper.
Time 11Elf Jack: Placed Toy train, on the sleigh. 
Time 11Elf Jack: Selected Toy dinosaur, Boy
Time 11Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 11Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 11Elf Jack: Selected Toy whistle, Boy
Time 11Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 11Elf Jack: Placed Toy whistle, on the sleigh. 
Time 11Elf Jack: Selected Toy whistle, Boy
Time 11Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 11Elf Jack: Placed Toy whistle, on the sleigh. 
Time 11Elf Jack: Selected Toy fake tattoo, Girl
Time 11Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 11Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 11Elf Jack: Selected Toy doll, Boy
Time 11Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 11Elf Jack: Placed Toy doll, on the sleigh. 
Time 11Elf Jack: Selected Toy fake tattoo, Boy
Time 11Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 11Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 11Elf Jack: Selected Toy whistle, Boy
Time 12Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 12Elf Jack: Placed Toy whistle, on the sleigh. 
Time 12Elf Jack: Selected Toy whistle, Girl
Time 12Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 12Elf Jack: Placed Toy whistle, on the sleigh. 
Time 12Elf Jack: Selected Toy dinosaur, Girl
Time 12Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 12Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 12Elf Jack: Selected Toy whistle, Boy
Time 12Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 12Elf Jack: Placed Toy whistle, on the sleigh. 
Time 12Elf Jack: Selected Toy fake tattoo, Girl
Time 12Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 12Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 12Elf Jack: Selected Toy doll, Boy
Time 12Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 12Elf Jack: Placed Toy doll, on the sleigh. 
Time 12Elf Jack: Selected Toy whistle, Girl
Time 12Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 12Elf Jack: Placed Toy whistle, on the sleigh. 
Time 12Elf Jack: Selected Toy dinosaur, Girl
Time 12Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 12Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 12Elf Jack: Selected Toy doll, Girl
Time 12Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 12Elf Jack: Placed Toy doll, on the sleigh. 
Time 13Elf Jack: Selected Toy doll, Girl
Time 13Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 13Elf Jack: Placed Toy doll, on the sleigh. 
Time 13Elf Jack: Selected Toy fake tattoo, Girl
Time 13Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 13Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 13Elf Jack: Selected Toy whistle, Boy
Time 13Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 13Elf Jack: Placed Toy whistle, on the sleigh. 
Time 13Elf Jack: Selected Toy dinosaur, Boy
Time 13Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 13Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 13Elf Jack: Selected Toy whistle, Girl
Time 13Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 13Elf Jack: Placed Toy whistle, on the sleigh. 
Time 13Elf Jack: Selected Toy dinosaur, Girl
Time 13Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 13Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 13Elf Jack: Selected Toy dinosaur, Girl
Time 13Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 13Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 13Elf Jack: Selected Toy fake tattoo, Girl
Time 13Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 13Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 13Elf Jack: Selected Toy doll, Girl
Time 13Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 13Elf Jack: Placed Toy doll, on the sleigh. 
Time 13Elf Jack: Selected Toy whistle, Girl
Time 13Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 13Elf Jack: Placed Toy whistle, on the sleigh. 
Time 13Elf Jack: Selected Toy bracelet, Boy
Time 13Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 13Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 13Elf Jack: Selected Toy bracelet, Boy
Time 14Elf Jack: Wrapped Toy bracelet, in Blue wrapping paper.
Time 14Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 14Elf Jack: Selected Toy doll, Boy
Time 14Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 14Elf Jack: Placed Toy doll, on the sleigh. 
Time 14Elf Jack: Selected Toy bracelet, Girl
Time 14Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 14Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 14Elf Jack: Selected Toy fake tattoo, Boy
Time 14Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 14Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 14Elf Jack: Selected Toy whistle, Boy
Time 14Elf Jack: Wrapped Toy whistle, in Blue wrapping paper.
Time 14Elf Jack: Placed Toy whistle, on the sleigh. 
Time 14Elf Jack: Selected Toy dinosaur, Boy
Time 14Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 14Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 14Elf Jack: Selected Toy fake tattoo, Boy
Time 14Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 14Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 14Elf Jack: Selected Toy doll, Boy
Time 14Elf Jack: Wrapped Toy doll, in Blue wrapping paper.
Time 14Elf Jack: Placed Toy doll, on the sleigh. 
Time 14Elf Jack: Selected Toy fake tattoo, Boy
Time 14Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 14Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 14Elf Jack: Selected Toy fake tattoo, Girl
Time 14Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 14Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 14Elf Jack: Selected Toy dinosaur, Girl
Time 15Elf Jack: Wrapped Toy dinosaur, in Pink wrapping paper.
Time 15Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 15Elf Jack: Selected Toy whistle, Girl
Time 15Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 15Elf Jack: Placed Toy whistle, on the sleigh. 
Time 15Elf Jack: Selected Toy whistle, Girl
Time 15Elf Jack: Wrapped Toy whistle, in Pink wrapping paper.
Time 15Elf Jack: Placed Toy whistle, on the sleigh. 
Time 15Elf Jack: Selected Toy fake tattoo, Boy
Time 15Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 15Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 15Elf Jack: Selected Toy fake tattoo, Girl
Time 15Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 15Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 15Elf Jack: Selected Toy fake tattoo, Girl
Time 15Elf Jack: Wrapped Toy fake tattoo, in Pink wrapping paper.
Time 15Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 15Elf Jack: Selected Toy dinosaur, Boy
Time 15Elf Jack: Wrapped Toy dinosaur, in Blue wrapping paper.
Time 15Elf Jack: Placed Toy dinosaur, on the sleigh. 
Time 15Elf Jack: Selected Toy bracelet, Girl
Time 15Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 15Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 15Elf Jack: Selected Toy train, Boy
Time 15Elf Jack: Wrapped Toy train, in Blue wrapping paper.
Time 15Elf Jack: Placed Toy train, on the sleigh. 
Time 16Elf Jack: Selected Toy fake tattoo, Boy
Time 16Elf Jack: Wrapped Toy fake tattoo, in Blue wrapping paper.
Time 16Elf Jack: Placed Toy fake tattoo, on the sleigh. 
Time 16Elf Jack: Selected Toy doll, Girl
Time 16Elf Jack: Wrapped Toy doll, in Pink wrapping paper.
Time 16Elf Jack: Placed Toy doll, on the sleigh. 
Time 16Elf Jack: Selected Toy bracelet, Girl
Time 16Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 16Elf Jack: Placed Toy bracelet, on the sleigh. 
Time 16Elf Jack: Selected Toy bracelet, Girl
Time 16Elf Jack: Wrapped Toy bracelet, in Pink wrapping paper.
Time 16Elf Jack: Placed Toy bracelet, on the sleigh. 
